SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051527,00182M00:06:23.412,0182 00:21:09,713.23,,1
683051528,00182M00:06:24.385,0182 00:21:10,713.26,,1
683051529,00182M00:06:25.359,0182 00:21:11,713.25,,1
683051530,00182M00:06:26.332,0182 00:21:12,713.23,,1
683051531,00182M00:06:27.305,0182 00:21:13,713.26,,1
683051532,00182M00:06:28.278,0182 00:21:14,713.21,,1
683051533,00182M00:06:29.252,0182 00:21:15,713.25,,1
683051534,00182M00:06:30.225,0182 00:21:16,713.28,,1
683051535,00182M00:06:31.198,0182 00:21:17,713.21,,1
683051536,00182M00:06:32.171,0182 00:21:18,713.24,,1
683051537,00182M00:06:33.145,0182 00:21:19,713.28,,1
683051538,00182M00:06:34.118,0182 00:21:20,713.28,,1
683051539,00182M00:06:35.091,0182 00:21:21,713.24,,1
683051540,00182M00:06:36.064,0182 00:21:22,713.24,,1
683051541,00182M00:06:37.038,0182 00:21:23,713.19,,1
683051542,00182M00:06:38.011,0182 00:21:24,713.19,,1
683051543,00182M00:06:38.984,0182 00:21:25,713.30,,1
683051544,00182M00:06:39.957,0182 00:21:26,713.30,,1
683051545,00182M00:06:40.931,0182 00:21:27,713.24,,1
683051546,00182M00:06:41.904,0182 00:21:28,713.26,,1
683051547,00182M00:06:42.877,0182 00:21:29,713.22,,1
683051548,00182M00:06:43.851,0182 00:21:30,713.26,,1
683051549,00182M00:06:44.824,0182 00:21:30,713.22,,1
683051550,00182M00:06:45.797,0182 00:21:31,713.26,,1
683051551,00182M00:06:46.770,0182 00:21:32,713.22,,1
683051552,00182M00:06:47.744,0182 00:21:33,713.24,,1
683051553,00182M00:06:48.717,0182 00:21:34,713.24,,1
683051554,00182M00:06:49.690,0182 00:21:35,713.20,,1
683051555,00182M00:06:50.663,0182 00:21:36,713.26,,1
683051556,00182M00:06:51.637,0182 00:21:37,713.28,,1
683051557,00182M00:06:52.610,0182 00:21:38,713.26,,1
683051558,00182M00:06:53.583,0182 00:21:39,713.22,,1
683051559,00182M00:06:54.556,0182 00:21:40,713.24,,1
683051560,00182M00:06:55.530,0182 00:21:41,713.26,,1
683051561,00182M00:06:56.503,0182 00:21:42,713.22,,1
683051562,00182M00:06:57.476,0182 00:21:43,713.24,,1
683051563,00182M00:06:58.449,0182 00:21:44,713.20,,1
683051564,00182M00:06:59.423,0182 00:21:45,713.22,,1
683051565,00182M00:07:00.396,0182 00:21:46,713.24,,1
683051566,00182M00:07:01.369,0182 00:21:47,713.27,,1
683051567,00182M00:07:02.342,0182 00:21:48,713.24,,1
683051568,00182M00:07:03.316,0182 00:21:49,713.29,,1
683051569,00182M00:07:04.289,0182 00:21:50,713.25,,1
683051570,00182M00:07:05.262,0182 00:21:51,713.20,,1
683051571,00182M00:07:06.235,0182 00:21:52,713.25,,1
683051572,00182M00:07:07.209,0182 00:21:53,713.27,,1
683051573,00182M00:07:08.182,0182 00:21:54,713.25,,1
683051574,00182M00:07:09.155,0182 00:21:55,713.29,,1
